Path,Size
/pub2/ndp026c/land_197705_198210/MAY81L.Z,28884111
/pub2/ndp026c/land_197705_198210/MAY82L.Z,25910847
/pub2/ndp026c/land_197705_198210/NOV77L.Z,26104767
/pub2/ndp026c/land_197705_198210/NOV78L.Z,25636969
/pub2/ndp026c/land_197705_198210/NOV79L.Z,26106491
/pub2/ndp026c/land_197705_198210/NOV80L.Z,27289208
/pub2/ndp026c/land_197705_198210/NOV81L.Z,28126603
/pub2/ndp026c/land_197705_198210/OCT77L.Z,27573469
/pub2/ndp026c/land_197705_198210/OCT78L.Z,27108209
/pub2/ndp026c/land_197705_198210/OCT79L.Z,27702807
/pub2/ndp026c/land_197705_198210/OCT80L.Z,28644215
/pub2/ndp026c/land_197705_198210/OCT81L.Z,28761187
/pub2/ndp026c/land_197705_198210/OCT82L.Z,27262067
/pub2/ndp026c/land_197705_198210/SEP77L.Z,27100125
/pub2/ndp026c/land_197705_198210/SEP78L.Z,27428638
/pub2/ndp026c/land_197705_198210/SEP79L.Z,27044542
/pub2/ndp026c/land_197705_198210/SEP80L.Z,27063939
/pub2/ndp026c/land_197705_198210/SEP81L.Z,28075351
/pub2/ndp026c/land_197705_198210/SEP82L.Z,25991697
/pub2/ndp026c/land_198211_198706/APR83L.Z,26201262
/pub2/ndp026c/land_198211_198706/APR84L.Z,24911584
/pub2/ndp026c/land_198211_198706/APR85L.Z,27072997
/pub2/ndp026c/land_198211_198706/APR86L.Z,27529897
/pub2/ndp026c/land_198211_198706/APR87L.Z,27639035
/pub2/ndp026c/land_198211_198706/AUG83L.Z,25727077
/pub2/ndp026c/land_198211_198706/AUG84L.Z,27856225
/pub2/ndp026c/land_198211_198706/AUG85L.Z,27924051
/pub2/ndp026c/land_198211_198706/AUG86L.Z,28028581
/pub2/ndp026c/land_198211_198706/DEC82L.Z,26872949
/pub2/ndp026c/land_198211_198706/DEC83L.Z,27728147
/pub2/ndp026c/land_198211_198706/DEC84L.Z,27240689
/pub2/ndp026c/land_198211_198706/DEC85L.Z,28540753
/pub2/ndp026c/land_198211_198706/DEC86L.Z,28566143
/pub2/ndp026c/land_198211_198706/FEB83L.Z,24022103
/pub2/ndp026c/land_198211_198706/FEB84L.Z,26010167
/pub2/ndp026c/land_198211_198706/FEB85L.Z,24992055
/pub2/ndp026c/land_198211_198706/FEB86L.Z,24842319
/pub2/ndp026c/land_198211_198706/FEB87L.Z,25183813
/pub2/ndp026c/land_198211_198706/JAN83L.Z,26804817
/pub2/ndp026c/land_198211_198706/JAN84L.Z,27165935
/pub2/ndp026c/land_198211_198706/JAN85L.Z,27284527
/pub2/ndp026c/land_198211_198706/JAN86L.Z,28305315
/pub2/ndp026c/land_198211_198706/JAN87L.Z,27623208
/pub2/ndp026c/land_198211_198706/JUL83L.Z,26788591
/pub2/ndp026c/land_198211_198706/JUL84L.Z,27707038
/pub2/ndp026c/land_198211_198706/JUL85L.Z,26544835
/pub2/ndp026c/land_198211_198706/JUL86L.Z,27915731
/pub2/ndp026c/land_198211_198706/JUN83L.Z,26162249
/pub2/ndp026c/land_198211_198706/JUN84L.Z,26721508
/pub2/ndp026c/land_198211_198706/JUN85L.Z,26674161
/pub2/ndp026c/land_198211_198706/JUN86L.Z,26628177
/pub2/ndp026c/land_198211_198706/JUN87L.Z,26533543
/pub2/ndp026c/land_198211_198706/MAR83L.Z,26764015
/pub2/ndp026c/land_198211_198706/MAR84L.Z,27946028
/pub2/ndp026c/land_198211_198706/MAR85L.Z,28079680
/pub2/ndp026c/land_198211_198706/MAR86L.Z,28465647
/pub2/ndp026c/land_198211_198706/MAR87L.Z,28080932
/pub2/ndp026c/land_198211_198706/MAY83L.Z,27249501
/pub2/ndp026c/land_198211_198706/MAY84L.Z,27717884
/pub2/ndp026c/land_198211_198706/MAY85L.Z,28080631
/pub2/ndp026c/land_198211_198706/MAY86L.Z,28223562
/pub2/ndp026c/land_198211_198706/MAY87L.Z,27332546
/pub2/ndp026c/land_198211_198706/NOV82L.Z,26310843
/pub2/ndp026c/land_198211_198706/NOV83L.Z,26336990
/pub2/ndp026c/land_198211_198706/NOV84L.Z,26725543
/pub2/ndp026c/land_198211_198706/NOV85L.Z,27732182
/pub2/ndp026c/land_198211_198706/NOV86L.Z,24859251
/pub2/ndp026c/land_198211_198706/OCT83L.Z,27018949
/pub2/ndp026c/land_198211_198706/OCT84L.Z,27855117
/pub2/ndp026c/land_198211_198706/OCT85L.Z,27908315
/pub2/ndp026c/land_198211_198706/OCT86L.Z,27747783
/pub2/ndp026c/land_198211_198706/SEP83L.Z,26272795
/pub2/ndp026c/land_198211_198706/SEP84L.Z,26863207
/pub2/ndp026c/land_198211_198706/SEP85L.Z,26470011
/pub2/ndp026c/land_198211_198706/SEP86L.Z,27020067
/pub2/ndp026c/land_198707_199202/APR88L.Z,27774775
/pub2/ndp026c/land_198707_199202/APR89L.Z,27463230
/pub2/ndp026c/land_198707_199202/APR90L.Z,27799655
/pub2/ndp026c/land_198707_199202/APR91L.Z,26602031
/pub2/ndp026c/land_198707_199202/AUG87L.Z,28302319
/pub2/ndp026c/land_198707_199202/AUG88L.Z,28447312
/pub2/ndp026c/land_198707_199202/AUG89L.Z,28217925
/pub2/ndp026c/land_198707_199202/AUG90L.Z,28017497
/pub2/ndp026c/land_198707_199202/AUG91L.Z,27123447
/pub2/ndp026c/land_198707_199202/DEC87L.Z,28946143
/pub2/ndp026c/land_198707_199202/DEC88L.Z,29066566
/pub2/ndp026c/land_198707_199202/DEC89L.Z,28779951
/pub2/ndp026c/land_198707_199202/DEC90L.Z,27952976
/pub2/ndp026c/land_198707_199202/DEC91L.Z,25468785
/pub2/ndp026c/land_198707_199202/FEB88L.Z,26100525
/pub2/ndp026c/land_198707_199202/FEB89L.Z,25698709
/pub2/ndp026c/land_198707_199202/FEB90L.Z,25819750
/pub2/ndp026c/land_198707_199202/FEB91L.Z,25160225
/pub2/ndp026c/land_198707_199202/FEB92L.Z,23306940
/pub2/ndp026c/land_198707_199202/JAN88L.Z,28423699
/pub2/ndp026c/land_198707_199202/JAN89L.Z,28252441
